,"(0, 0)","(0, 1)","(0, 2)","(1, 0)","(1, 1)","(1, 2)","(2, 0)","(2, 1)","(2, 2)"
0  |0 X|XX0,-3.6883167878144003,0.0,4.93684890624,0.0,0.0,0.0,0.0,-1.53318368,0.0
00 |XX |X0X,-1.3669861230842884,-1.7175244068700242,9.990096479685716,-0.7839261181265751,-0.10717799705396161,-4.880000000000001,-0.4521150498524366,-0.2523572558339634,-1.4278768770539618
0 X|0XX|0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X X|  0|00X,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0,-2.0,-2.0
XXX|0 0|00X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X0X|00X| X ,-5.47413317804032,-9.137511977900456,-7.620187469043596,-10.644770894473526,-2.0,-6.510876517806245,-4.880000000000001,-7.935053158400001,-1.9881940837928258
  X|0 0|X X,-5.4445271040000005,-3.2800000000000002,-4.0313818857344135,-3.2013274833300445,9.940970418964131,-1.7835628837109758,-2.3961398169600003,-2.0,0.0
XX0|   | 0X,-2.723743313113088,-5.09539539163136,-3.6,-1.5043520000000001,-0.05423262720000005,-2.0,5.3854908929638405,-3.6,-4.880000000000001
0  |X0 |X 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X0 | 0X|X 0,-2.916,-2.0,-3.6,2.8753463362371914,-0.8972259840000002,-3.5647664,-2.322592,8.65782272,-4.593196185976206
XX0| 00| XX,-1.7273818857344125,0.0,-1.62,6.7232,-2.112127353430024,-0.1427841964600198,9.926213023705163,-1.2728509241180241,-1.9550136832
XXX|  0| 0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  X|00X|0X ,9.99999598265489,-5.3145438208,-0.6582320494816428,-0.18028645045190117,-0.8631327419671129,-0.9122126882234962,-1.2924439864165251,-1.0228577779012813,2.8336286337488747
0X0|  X|X 0,-2.0,-1.7945779523584,-0.23056700579839992,1.581232896,9.31280523264,-0.30401094656000005,-1.9040109465600001,0.24624000000000001,-1.02179173376
 X0|0X |X0X,-0.7200000000000001,-3.6,-2.0,-2.0,-2.0,-3.6,-2.0,-2.0,-2.0
0 0|X0X|X X,-1.4556070228727906,9.998936617603372,-0.2959220171556639,-0.7376400435099553,-1.3086648324039412,-0.88886393423562,-0.1668503069687809,-1.4757120000000001,-1.4745127936975804
 0X|0X |0X ,8.65782272,-0.8782399999999999,0.0,-1.9550136832,-1.07653248,0.0,0.0,-0.8782399999999999,0.0
0X |X00|X 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 X |0X0|X 0,-2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
0XX|0X0|X 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0XX|X0 |0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  X|00X|0 X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X 0|X 0|X  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00 |X0X| X ,-0.7578528268019209,-0.7758100416120668,7.37856,-0.8183094005147898,-1.1039043244068638,-0.6345277059470661,2.7527571162890245,-0.29207639012796466,9.99956443857034
0X0|0XX|X0X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0 X|X  |0  ,-3.839605299762783,0.5848161901094566,-2.8189226940719028,-2.764878023625813,5.687047058301317,0.0,-1.3129102593432482,0.0,0.0
  0|X00|0XX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  X|00 | XX,-3.62304,-3.6630136832,-2.81398899712,-2.401359104,-2.4776441155584,9.31280523264,0.38,-0.7537807872000003,-3.1105670057984
000|X  |XX ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X 0|0XX| 0X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 00|X0X| 0X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00X| 0X| X ,-0.8478011286261353,-0.3355020377798354,-0.7244573112872212,-3.6,-0.5226957216407971,-0.18011916960715513,-2.8433919999999997,-0.9574548849147257,9.999999568640854
XXX|00 |0X ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0 X|0X | X ,-1.7384964680147612,0.3790523478015999,-2.1513480808431695,-0.8917537825724362,-1.5841829773240585,-1.8435628837109763,9.998670772004214,-0.3881718953145225,-6.7232
 0 |X0 | XX,-2.9696256,-1.8128576,-1.8435628837109763,-1.8128576,-3.1649932672,-1.824352,3.9631459832517217,-4.760228864,-5.292024759808
0 X|0 0| XX,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
 XX| 0X|0X0,9.774820018631475,-1.8840428837109762,0.0,-4.880000000000001,0.0,0.0,0.0,-0.8861548837109758,0.0
XXX|00X|0X0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X0X| XX|00 ,-2.0,-3.6,-3.6,-2.0,-5.904000000000001,-3.6,0.0,-2.0,0.0
00X|0  |0XX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X X|0X0| 0 ,-2.0,-2.0,0.0,0.0,-2.0,-2.0,0.0,-2.0,0.0
X00|XXX|0X0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 0 |XXX|0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 XX|  0|0 X,7.408217539176117,-1.4646692670463999,0.0,0.0,-2.0,0.0,-4.523539402387456,0.0,-2.0
0XX|X 0|0 X,-3.676,-5.0168,-2.0,-3.676,-0.7200000000000001,-2.0,-5.0168,-0.7200000000000001,-3.6
X0 |00X|  X,-2.0,-2.01119911775703,9.070214354325012,0.0,-2.0,-1.1743612130273007,1.8726181142655876,3.6,-2.01119911775703
X  |X00|XX0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 XX|X  |000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X0 |XX | 0 ,-3.6,-2.0,-2.0,-2.0,-2.0,-1.6,-1.2582399999999998,-2.0,1.736791242752
  X| X0|X 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  0|0XX|0 X,8.3222784,0.9880000000000001,0.0,0.0,-1.62,0.0,-2.0,0.0,0.0
X00|X0 |X  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0 X| X0|X  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
   | X0|X0 ,-2.0,-2.0,2.9710796659903695,0.0,0.0,0.0,-3.2711932241591093,0.0,0.0
 X0| 00|0XX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0X0|XXX|0  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X0 |00X|0XX,-0.4271652954859822,-2.06204953851135,9.984525749508933,-0.13422735716801562,-0.49845887999999994,-2.012564406870024,-0.11121562039681515,-0.3239796722770899,-0.28739371223202265
0X0|X X| 0X,-3.824352,-6.232997263360001,-3.9391978106880003,-2.0,-1.8900488372224,-3.9473582485504,-4.880000000000001,-3.6,-3.9289972633600003
000|X X| X ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 X | 00| XX,-0.7899819823300609,-2.321802883710976,-2.0,9.718525023289343,-3.6,-1.8181955877109757,1.80554112,-1.316,-2.987599104
0X |00X|XX ,-3.775567104,-1.4494651582667557,-6.7232,-1.5370115536280355,-1.6104311095454598,-2.018767104,-1.483851640554415,-1.8448776733687808,9.81985601490518
X0X|X0 | X0,-5.3149632,-2.0,-3.824352,-3.676,-4.956,-4.880000000000001,-1.34464,-3.676,-5.165152
0X0|X0 |X X,-8.16616242176,-7.670282308366499,-6.3607982485504,-7.730506064376234,-3.900308224,-5.904000000000001,-8.5933853497778,-1.976941569907863,-6.626215602457805
XX0| 0 |XX0,-0.5408564942758527,-0.30401094656000005,-0.4692410403680157,-0.4,-0.4378886219187231,9.984525749508933,-0.7134505145363582,-0.3151749055626725,-0.19861344361055466
XX0| 00|XX0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XXX|0  |00 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
